,feature,coef
131,cat__deadline_month_6,0.01736193379593165
132,cat__deadline_month_7,-0.028464276327434358
133,cat__deadline_month_8,0.005973946475972311
134,cat__deadline_month_9,-0.02328265039050558
135,cat__deadline_month_10,-0.032851461898150726
136,cat__deadline_month_11,-0.08260846740766938
137,cat__deadline_month_12,-0.13292379410345773
138,cat__blurb_missing_0,0.010174324807619654
139,cat__blurb_missing_1,-0.05720448905828479
140,cat__blurb_is_english_0,-0.13912495882020195
141,cat__blurb_is_english_1,0.09209479456958802
142,cat__name_missing_0,-0.27036662333650796
143,cat__name_missing_1,0.22333645908537605
144,cat__name_is_english_0,-0.0205559608133555
145,cat__name_is_english_1,-0.02647420343728701
146,blurb__00,-0.7598241178375909
147,blurb__000,0.7830046831001821
148,blurb__10,0.09119997486356221
149,blurb__100,0.39396313799256966
150,blurb__1000,0.32878619228471795
151,blurb__10th,1.3246959584685893
152,blurb__11,0.5559837339762592
153,blurb__12,-0.06303210680697155
154,blurb__120,0.3017421462911283
155,blurb__13,-0.24321779148001224
156,blurb__13th,0.749148986353566
157,blurb__14,-0.006646482382312125
158,blurb__15,0.07845695107781844
159,blurb__150,0.18024471034049938
160,blurb__15mm,-0.18723529387649962
161,blurb__16,0.4191776228180388
162,blurb__17,0.14079781679955167
163,blurb__18,-0.06781917159605083
164,blurb__18th,0.17799435472453168
165,blurb__19,0.6942544984849341
166,blurb__1980,-0.2509274426121691
167,blurb__1980s,0.7222255442791743
168,blurb__19th,0.3387746892753473
169,blurb__1st,-0.33209831813647067
170,blurb__20,0.18378052108085977
171,blurb__200,0.8975864876833496
172,blurb__2000,0.25268978402821285
173,blurb__2010,0.11979367381646915
174,blurb__2011,0.3450051203900366
175,blurb__2012,0.10829054054666153
176,blurb__2013,0.32149679201585973
177,blurb__2014,0.20663875875135632
178,blurb__2015,-0.024683716967103763
179,blurb__2016,0.2217789670391431
180,blurb__2017,0.21970500636682577
181,blurb__2018,0.5652491922710197
182,blurb__2019,0.8157484668225986
183,blurb__2020,0.06973505127440971
184,blurb__2021,0.06596236203235906
185,blurb__2022,0.2715060119216781
186,blurb__2023,0.5913309066466458
187,blurb__2024,0.7381878325028147
188,blurb__2025,-0.2787208976928825
