,timestamp,open,high,low,close,fx_daily_mean
0,2025-11-20,1.24193,1.2427,1.23824,1.24131,1.24105
1,2025-11-19,1.25094,1.25266,1.23962,1.24177,1.24625
2,2025-11-18,1.25644,1.26024,1.25,1.25094,1.2544
3,2025-11-17,1.26056,1.2631,1.25549,1.2566,1.25894
4,2025-11-14,1.26215,1.26968,1.25834,1.25992,1.26252
5,2025-11-13,1.25313,1.26486,1.25094,1.26135,1.25757
6,2025-11-12,1.25016,1.25549,1.24828,1.25376,1.25192
7,2025-11-11,1.24208,1.2525,1.24054,1.24953,1.24616
8,2025-11-10,1.24193,1.24347,1.23885,1.24255,1.2417
9,2025-11-07,1.2407,1.24533,1.23701,1.24255,1.2414
10,2025-11-06,1.23472,1.24116,1.23396,1.24023,1.23752
11,2025-11-05,1.23381,1.23824,1.23092,1.23426,1.23431
12,2025-11-04,1.23778,1.23993,1.23335,1.23426,1.23633
13,2025-11-03,1.24363,1.2444,1.23594,1.23793,1.24048
14,2025-10-31,1.24657,1.24906,1.24193,1.24347,1.24526
15,2025-10-30,1.24984,1.25455,1.24425,1.24735,1.249
16,2025-10-29,1.26024,1.26215,1.24688,1.25063,1.25498
17,2025-10-28,1.25707,1.26215,1.25518,1.26087,1.25882
18,2025-10-27,1.25423,1.25897,1.25423,1.25754,1.25624
19,2025-10-24,1.25802,1.26056,1.25502,1.25723,1.25771
20,2025-10-23,1.25628,1.25818,1.25219,1.25786,1.25613
21,2025-10-22,1.2566,1.25849,1.25423,1.25676,1.25652
22,2025-10-21,1.26151,1.2639,1.25565,1.25612,1.2593
23,2025-10-20,1.2631,1.26518,1.25897,1.26231,1.26239
24,2025-10-17,1.26199,1.27065,1.26008,1.26119,1.26348
25,2025-10-16,1.25581,1.26231,1.2525,1.26119,1.25795
26,2025-10-15,1.25063,1.25707,1.24766,1.25534,1.25268
27,2025-10-14,1.24394,1.25,1.24239,1.24891,1.24631
28,2025-10-13,1.24548,1.25141,1.24116,1.24409,1.24553
29,2025-10-10,1.24039,1.25204,1.23947,1.25172,1.2459
30,2025-10-09,1.24688,1.25,1.23839,1.2407,1.24399
31,2025-10-08,1.25313,1.25408,1.24564,1.24751,1.25009
32,2025-10-07,1.25849,1.25881,1.25141,1.25329,1.2555
33,2025-10-06,1.25534,1.25881,1.2511,1.25786,1.25578
34,2025-10-03,1.25313,1.25881,1.25298,1.25739,1.25558
35,2025-10-02,1.25518,1.25818,1.25,1.25376,1.25428
