,timestamp,open,high,low,close,fx_daily_mean
0,2025-11-20,0.15449,0.15465,0.15407,0.15436,0.15439
1,2025-11-19,0.15507,0.1553,0.15423,0.1545,0.15478
2,2025-11-18,0.15523,0.15544,0.15493,0.15508,0.15517
3,2025-11-17,0.15562,0.1557,0.15509,0.15522,0.15541
4,2025-11-14,0.1558,0.15607,0.15542,0.15564,0.15573
5,2025-11-13,0.15526,0.15611,0.15506,0.15581,0.15556
6,2025-11-12,0.15512,0.15534,0.15485,0.15525,0.15514
7,2025-11-11,0.15478,0.15542,0.15465,0.15512,0.15499
8,2025-11-10,0.15487,0.15514,0.15456,0.15478,0.15484
9,2025-11-07,0.15464,0.15526,0.15441,0.15488,0.1548
10,2025-11-06,0.15396,0.15476,0.15394,0.15465,0.15433
11,2025-11-05,0.15385,0.15403,0.15363,0.15396,0.15387
12,2025-11-04,0.15432,0.15451,0.15369,0.15383,0.15409
13,2025-11-03,0.1545,0.15459,0.15409,0.15432,0.15437
14,2025-10-31,0.1549,0.15505,0.15429,0.15451,0.15469
15,2025-10-30,0.15536,0.15585,0.15463,0.15492,0.15519
16,2025-10-29,0.15604,0.15622,0.15504,0.15536,0.15566
17,2025-10-28,0.15593,0.15626,0.15565,0.15602,0.15597
18,2025-10-27,0.15567,0.15602,0.15554,0.15594,0.15579
19,2025-10-24,0.15556,0.15596,0.15531,0.15568,0.15563
20,2025-10-23,0.15546,0.15559,0.15511,0.15557,0.15543
21,2025-10-22,0.15532,0.15562,0.155,0.15546,0.15535
22,2025-10-21,0.1559,0.15608,0.15528,0.15532,0.15564
23,2025-10-20,0.15615,0.15637,0.15583,0.1559,0.15606
24,2025-10-17,0.1565,0.15704,0.15601,0.15605,0.1564
25,2025-10-16,0.15596,0.15659,0.15589,0.15649,0.15623
26,2025-10-15,0.15542,0.15599,0.15535,0.15597,0.15568
27,2025-10-14,0.15495,0.15554,0.15457,0.15543,0.15512
28,2025-10-13,0.15553,0.15576,0.15476,0.15495,0.15525
29,2025-10-10,0.15488,0.15577,0.15478,0.15567,0.15528
30,2025-10-09,0.15576,0.15604,0.15459,0.15489,0.15532
31,2025-10-08,0.15614,0.15622,0.15533,0.15579,0.15587
32,2025-10-07,0.1569,0.15696,0.15602,0.15614,0.1565
33,2025-10-06,0.15706,0.15713,0.15607,0.1569,0.15679
34,2025-10-03,0.15692,0.1575,0.1569,0.15729,0.15715
35,2025-10-02,0.15715,0.1575,0.15648,0.15693,0.15701
36,2025-10-01,0.15721,0.15781,0.15691,0.15715,0.15727
37,2025-09-30,0.15711,0.15759,0.15691,0.1572,0.1572
38,2025-09-29,0.15681,0.15749,0.15677,0.15711,0.15704
39,2025-09-26,0.1563,0.1569,0.1562,0.1568,0.15655
40,2025-09-25,0.15727,0.1575,0.15604,0.1563,0.15678
41,2025-09-24,0.15832,0.15838,0.15714,0.15727,0.15778
42,2025-09-23,0.15816,0.15837,0.15783,0.15832,0.15817
43,2025-09-22,0.1574,0.15817,0.15711,0.15815,0.15771
44,2025-09-19,0.15793,0.15801,0.15716,0.15738,0.15762
45,2025-09-18,0.15827,0.15876,0.15742,0.15797,0.1581
46,2025-09-17,0.15898,0.15968,0.15819,0.15826,0.15878
47,2025-09-16,0.15756,0.15917,0.15752,0.15899,0.15831
48,2025-09-15,0.15721,0.15775,0.15697,0.15756,0.15737
49,2025-09-12,0.15723,0.1574,0.15677,0.15722,0.15716
50,2025-09-11,0.15667,0.15739,0.15628,0.15722,0.15689
51,2025-09-10,0.15685,0.15715,0.15649,0.15666,0.15679
52,2025-09-09,0.15756,0.15777,0.15677,0.15685,0.15724
53,2025-09-08,0.15687,0.15759,0.15678,0.15754,0.1572
54,2025-09-05,0.15607,0.15755,0.15604,0.15697,0.15666
55,2025-09-04,0.15623,0.15635,0.15581,0.15607,0.15612
56,2025-09-03,0.15598,0.15653,0.15556,0.15623,0.15608
